case;GroundTruth_bin;GroundTruth_src;GroundTruth_message;roseau_bin;roseau_src;correct_roseau_bin;correct_roseau_src;roseau_message;japicmp_bin;japicmp_src;correct_japicmp_bin;correct_japicmp_src;japicmp_message;revapi_bin;revapi_src;correct_revapi_bin;correct_revapi_src;revapi_message
modifierMethodStaticToNonStatic;true;true;Compiler: compiler.err.non-static.cant.be.refLinker: Exception in thread "main" java.lang.IncompatibleClassChangeError: Expected static method 'void testing_lib.modifierMethodStaticToNonStatic.ModifierMethodStaticToNonStatic.method1()';true;true;true;true;METHOD_NO_LONGER_STATIC;true;true;true;true;JApiCompatibilityChange{type=METHOD_NO_LONGER_STATIC};true;true;true;true;method no longer static
modifierClazzEffectivelyFinalToFinal;false;false;;false;false;true;true;;false;false;true;true;;true;true;false;false;class now final
membersIfazeNestedIfazeAdd;false;false;;false;false;true;true;;false;false;true;true;;false;false;true;true;class added
modifierClazzNonAbstractToAbstract;true;true;Compiler: compiler.err.abstract.cant.be.instantiatedLinker: Exception in thread "main" java.lang.InstantiationError: testing_lib.modifierClazzNonAbstractToAbstract.ModifierClazzNonAbstractToAbstract;true;true;true;true;CLASS_NOW_ABSTRACT;true;true;true;true;JApiCompatibilityChange{type=CLASS_NOW_ABSTRACT};true;true;true;true;class now abstract
modifierClazzNonFinalToFinal;true;true;Compiler: compiler.err.cant.inherit.from.finalLinker: Error: LinkageError occurred while loading main class modifierClazzNonFinalToFinal.Main;true;true;true;true;CLASS_NOW_FINAL;true;true;true;true;JApiCompatibilityChange{type=CLASS_NOW_NOT_EXTENDABLE};true;true;true;true;class now final
inheritanceClazzMethodMovedToSuperClass;false;false;;false;false;true;true;;false;false;true;true;JApiCompatibilityChange{type=METHOD_ADDED_TO_PUBLIC_CLASS};false;false;true;true;method added, method moved to superclass
modifierMethodStrictfpToNonStrictfp;false;false;;false;false;true;true;;false;false;true;true;;false;false;true;true;
modifierClazzStrictfpToNonStrictfp;false;false;;false;false;true;true;;false;false;true;true;;false;false;true;true;
inheritanceClazzContractSuperClassSet;true;true;Compiler: compiler.err.cant.resolve.location, compiler.err.cant.resolve.location, compiler.err.cant.resolve.locationLinker: Caused by: java.lang.NoClassDefFoundError: testing_lib/inheritanceClazzContractSuperClassSet/Clazz2;true;true;true;true;TYPE_REMOVED, EXECUTABLE_REMOVED, TYPE_SUPERTYPE_REMOVED;true;true;true;true;JApiCompatibilityChange{type=METHOD_REMOVED}, JApiCompatibilityChange{type=CONSTRUCTOR_REMOVED}, JApiCompatibilityChange{type=SUPERCLASS_REMOVED}, JApiCompatibilityChange{type=CLASS_REMOVED}, JApiCompatibilityChange{type=SUPERCLASS_REMOVED};true;true;true;true;class removed, removed super class
modifierMethodSynchronizedToNonSynchronized;false;false;;false;false;true;true;;false;false;true;true;;false;false;true;true;
inheritanceIfazeMethodMovedToSuperInterface;false;true;Compiler: compiler.err.does.not.override.abstract;false;true;true;true;TYPE_NEW_ABSTRACT_METHOD;false;true;true;true;JApiCompatibilityChange{type=METHOD_ADDED_TO_INTERFACE};false;true;true;true;method moved to superclass, method added to interface
modifierClazzNonStrictfpToStrictfp;false;false;;false;false;true;true;;false;false;true;true;;false;false;true;true;
inheritanceClazzMethodOverrideAdd;false;false;;false;false;true;true;;false;false;true;true;JApiCompatibilityChange{type=METHOD_ADDED_TO_PUBLIC_CLASS};false;false;true;true;inherited method moved to class
modifierFieldFinalToNonFinal;false;false;;false;false;true;true;;false;false;true;true;;false;false;true;true;field no longer final
inheritanceClazzExpandSuperClassSet;false;false;;false;false;true;true;;false;false;true;true;JApiCompatibilityChange{type=METHOD_ADDED_TO_PUBLIC_CLASS}, JApiCompatibilityChange{type=SUPERCLASS_ADDED};true;true;false;false;class added, new super class of non-final class
modifierNestedClazzNonStaticToStatic;true;true;Compiler: compiler.err.qualified.new.of.static.classLinker: Exception in thread "main" java.lang.NoSuchMethodError: 'void testing_lib.modifierNestedClazzNonStaticToStatic.ModifierNestedClazzNonStaticToStatic$NestedClazz.<init>(testing_lib.modifierNestedClazzNonStaticToStatic.ModifierNestedClazzNonStaticToStatic)';true;true;true;true;CLASS_NOW_STATIC;true;true;true;true;JApiCompatibilityChange{type=CONSTRUCTOR_REMOVED};false;false;false;false;
inheritanceIfazeStartInherite;false;true;Compiler: compiler.err.does.not.override.abstract;false;true;true;true;TYPE_NEW_ABSTRACT_METHOD;false;false;true;false;JApiCompatibilityChange{type=INTERFACE_ADDED};false;false;true;false;class implements interface
